symbol,date,open,high,low,close,volume
AGX,2026-04-07,572.64,577.48,560.02,576.95,104085.0
AGX,2026-04-08,599.01,615.0,585.15,588.28,168243.0
AGX,2026-04-09,597.1,615.68,586.29,609.29,124169.0
AGX,2026-04-10,611.34,614.66,600.0,603.84,69112.0
AGX,2026-04-13,605.2,618.87,591.67,598.44,80187.0
AGX,2026-04-14,605.71,606.51,592.13,603.91,69635.0
AGX,2026-04-15,595.0,606.94,589.69,606.43,68105.0
AGX,2026-04-16,605.6,610.0,594.82,600.62,44160.0
HUBC,2026-02-11,2.33,2.43,2.06,2.4,177572.0
HUBC,2026-02-12,2.42,2.42,2.14,2.28,124469.0
HUBC,2026-02-13,2.24,2.8,2.23,2.6,213179.0
HUBC,2026-02-17,2.18,2.3,2.01,2.2,286873.0
HUBC,2026-02-18,2.2,2.4,2.15,2.28,147349.0
HUBC,2026-02-19,2.24,2.29,2.12,2.25,74232.0
HUBC,2026-02-20,2.25,2.29,1.92,1.99,119351.0
HUBC,2026-02-23,2.0,2.1,1.85,1.89,125147.0
HUBC,2026-02-24,1.89,1.9079,1.53,1.59,328498.0
HUBC,2026-02-25,1.6,1.65,1.32,1.34,306232.0
HUBC,2026-02-26,1.4,1.41,1.12,1.145,388584.0
HUBC,2026-02-27,1.14,1.57,1.04,1.48,1623026.0
HUBC,2026-03-02,1.4,1.44,1.22,1.29,371108.0
HUBC,2026-03-03,1.25,1.39,1.2,1.35,379895.0
HUBC,2026-03-04,1.31,1.33,1.18,1.2,251824.0
HUBC,2026-03-05,1.2,1.34,1.16,1.29,249557.0
HUBC,2026-03-06,1.14,1.18,0.99,1.03,573966.0
HUBC,2026-03-09,1.01,1.01,0.915,0.9526,290986.0
HUBC,2026-03-10,0.9649,0.9649,0.816,0.8576,322731.0
HUBC,2026-03-11,0.86,0.88,0.8,0.829,237310.0
HUBC,2026-03-12,0.81,0.82,0.71,0.7568,405388.0
HUBC,2026-03-13,0.7287,0.7287,0.445,0.4769,1713703.0
HUBC,2026-03-16,0.4477,0.4657,0.382,0.452,1358322.0
HUBC,2026-03-17,0.4421,0.4421,0.365,0.3887,1149651.0
HUBC,2026-03-18,0.3556,0.3646,0.2811,0.3031,1743369.0
HUBC,2026-03-19,0.2983,0.47,0.2241,0.258,21429431.0
HUBC,2026-03-20,0.2397,0.2407,0.187,0.192,2344061.0
HUBC,2026-03-23,0.18,0.1915,0.1632,0.185,2040679.0
HUBC,2026-03-24,0.186,0.2458,0.18,0.2318,4592808.0
HUBC,2026-03-25,0.2431,0.5006,0.2113,0.235,160928298.0
HUBC,2026-03-26,0.1732,0.1798,0.1279,0.1293,8114623.0
HUBC,2026-03-27,0.1266,0.1453,0.1222,0.1312,4741940.0
HUBC,2026-03-30,0.135,0.14,0.1165,0.121,1513855.0
HUBC,2026-03-31,0.1,0.1187,0.0952,0.0993,4456480.0
HUBC,2026-04-01,0.0975,0.1024,0.0618,0.089,25529104.0
HUBC,2026-04-02,0.07,0.0902,0.0657,0.0888,8074310.0
HUBC,2026-04-06,0.0785,0.081,0.07,0.074,7748966.0
HUBC,2026-04-07,0.0818,0.1425,0.0788,0.115,217006873.0
HUBC,2026-04-08,0.11,0.2089,0.1016,0.1978,91814041.0
HUBC,2026-04-09,0.1261,0.1355,0.1076,0.1133,19721110.0
HUBC,2026-04-10,0.1141,0.1371,0.1063,0.1146,13132152.0
HUBC,2026-04-13,0.1,0.1003,0.0812,0.09,23794180.0
HUBC,2026-04-14,0.1309,0.1423,0.1066,0.127,115936199.0
HUBC,2026-04-15,0.1234,0.3539,0.1121,0.26,384796539.0
HUBC,2026-04-16,0.1578,0.1936,0.1442,0.1776,50358240.0
EEIQ,2026-02-10,3.52,3.68,3.392,3.4816,123.5
EEIQ,2026-02-11,3.52,3.5984,3.36,3.536,10132.8125
EEIQ,2026-02-12,3.2,3.28,2.4512,2.7408,43654.4375
EEIQ,2026-02-13,2.72,3.0192,2.696,2.8784,16520.0625
EEIQ,2026-02-17,3.07,3.8,3.0,3.56,217980.0
EEIQ,2026-02-18,3.08,3.36,3.08,3.23,46318.0
EEIQ,2026-02-19,3.2,3.3,2.91,3.11,91310.0
EEIQ,2026-02-20,3.07,3.23,2.86,3.12,16666.0
EEIQ,2026-02-23,3.07,3.07,2.81,2.81,11125.0
EEIQ,2026-02-24,2.84,2.93,2.76,2.9,13766.0
EEIQ,2026-02-25,2.9,3.95,2.3,2.52,692171.0
EEIQ,2026-02-26,2.45,2.73,2.41,2.72,30889.0
EEIQ,2026-02-27,2.65,2.65,2.32,2.39,14892.0
EEIQ,2026-03-02,2.34,2.54,2.28,2.41,13571.0
EEIQ,2026-03-03,2.39,2.4,2.21,2.29,8654.0
EEIQ,2026-03-04,2.35,2.48,2.25,2.3,22262.0
EEIQ,2026-03-05,2.31,2.38,2.29,2.33,3063.0
EEIQ,2026-03-06,2.29,2.33,2.24,2.3,7372.0
EEIQ,2026-03-09,2.25,2.95,2.25,2.74,102009.0
EEIQ,2026-03-10,2.66,3.07,2.51,2.86,45097.0
EEIQ,2026-03-11,2.93,2.99,2.78,2.87,6537.0
EEIQ,2026-03-12,2.95,3.19,2.75,2.77,25258.0
